subjectid,gender,height,weight,handedness,age,race,height_tercile,age_tercile
11542,male,180.5,74.4,right,42,asian,3,3
11545,male,177.5,68,right,21,white,3,1
11549,male,173,67.7,right,42,pacific_islander,2,3
11551,male,174,73.5,right,20,white,2,1
11556,male,175.2,64.9,right,32,black,2,2
11561,male,167.3,76.6,right,32,white,1,2
11563,male,185,86,right,38,black,3,3
11572,male,180.2,80.9,right,20,black,3,1
11577,male,172.7,80.1,right,21,white,2,1
11607,male,171.7,77.3,right,22,black,2,1
11610,male,167.2,88,right,19,black,1,1
11646,male,185,90.5,left,20,black,3,1
11647,male,195.8,86.6,left,20,white,3,1
11653,male,170.8,84.5,right,22,white,2,1
11683,male,192.3,120.3,right,38,white,3,3
11685,male,168.4,76.9,right,24,hispanic,2,1
11690,male,176.2,99.5,right,25,white,3,2
11697,male,186.9,105.4,left,31,white,3,2
11698,male,176.8,87.2,right,42,white,3,3
11705,male,166.8,75,right,35,hispanic,1,3
11708,male,165.8,86.5,right,27,hispanic,1,2
11717,male,182.3,96.2,right,22,hispanic,3,1
11720,male,185.6,72.7,right,25,white,3,2
11721,male,179.2,78.5,right,25,white,3,2
11722,male,170.9,75.2,right,21,white,2,1
11729,male,177.5,74.4,right,46,black,3,3
11736,male,171.2,81.8,right,29,white,2,2
11738,male,176.9,87.3,right,39,hispanic,3,3
11751,male,165.1,69.7,right,33,other,1,3
11753,male,177,82.4,right,25,white,3,2
11754,male,192.8,99.9,right,35,white,3,3
11755,male,175.1,86.7,right,32,hispanic,2,2
11758,male,159.7,72.5,right,48,white,1,3
11759,male,182,72.8,right,22,white,3,1
11761,male,182.1,71.5,right,23,white,3,1
11819,male,181.3,127.4,right,23,white,3,1
11836,male,182.6,96.1,right,20,white,3,1
11837,male,167.5,101.8,right,34,white,1,3
11839,male,172.2,86.9,left,24,hispanic,2,1
11842,male,171.8,84,right,31,hispanic,2,2
11848,male,172.6,83.4,left,31,black,2,2
11855,male,176.7,73.3,right,38,native_american,3,3
11857,male,170.1,73.5,right,28,white,2,2
11862,male,174.4,76.6,right,19,white,2,1
11863,male,168,85.8,right,23,black,2,1
11866,male,158.1,56,right,19,white,1,1
11871,male,173.1,75.4,right,47,hispanic,2,3
11872,male,182.5,94.1,right,31,white,3,2
11875,male,163.5,92,right,39,white,1,3
11876,male,173.6,90.5,right,35,white,2,3
11877,male,169.2,102.1,right,34,hispanic,2,3
11878,male,166.5,65,right,24,white,1,1
11880,male,185.6,97.7,right,31,white,3,2
11881,male,187.4,113,right,23,white,3,1
11884,male,167.2,89.4,right,28,white,1,2
11885,male,180.7,76.3,right,20,white,3,1
11886,male,189.2,124.1,right,24,white,3,1
11887,male,179.5,87.6,right,21,white,3,1
11890,male,179.8,68.9,right,19,black,3,1
11892,male,172.1,73.6,right,21,white,2,1
11895,male,168.7,75.9,right,21,white,2,1
11896,male,174.5,70.2,right,20,white,2,1
11897,male,183.6,101.8,right,51,white,3,3
11905,male,175.1,88.7,right,34,white,2,3
11909,male,185.6,126.6,right,39,black,3,3
11930,male,170.2,84.2,right,31,hispanic,2,2
11935,male,171.7,69.9,left,23,white,2,1
11944,male,175.9,71.3,right,20,white,3,1
11948,male,178.9,109.9,right,29,white,3,2
11953,male,183.8,104.2,right,29,native_american,3,2
11967,male,163.9,63.3,right,20,asian,1,1
11969,male,167.4,92.1,right,44,black,1,3
11977,male,174.5,95.5,right,38,white,2,3
11979,male,166.2,70.9,left,21,white,1,1
11980,male,167.4,77.3,right,19,white,1,1
11983,male,168.8,78.1,right,25,white,2,2
12004,male,174.4,101.7,right,31,white,2,2
12016,male,177.3,102.8,right,28,black,3,2
12019,male,183.5,91,right,25,black,3,2
12021,male,173.6,78.7,right,36,black,2,3
12023,male,166.8,78.1,right,32,white,1,2
12044,male,179.1,93.1,right,28,white,3,2
12047,male,181.6,79.3,right,33,white,3,3
12048,male,178.1,81.2,right,29,white,3,2
12057,male,175.9,62.1,right,22,white,3,1
12058,male,167.3,75.8,left,26,white,1,2
12059,male,173.4,74.5,right,21,white,2,1
12060,male,164,81.9,right,28,hispanic,1,2
12062,male,166.3,71.4,right,28,white,1,2
12064,male,164.6,86.5,right,40,black,1,3
12065,male,181,109.1,right,19,white,3,1
12102,male,170.1,78,right,19,white,2,1
12103,male,185,94.2,right,20,white,3,1
12123,male,176.4,83.2,right,30,white,3,2
12128,male,186.3,83.8,left,26,white,3,2
12129,male,176.4,98.7,right,19,white,3,1
12134,male,181.1,95.8,right,42,white,3,3
12142,male,179.5,96.2,right,20,white,3,1
12149,male,158.3,54.5,right,21,hispanic,1,1
12156,male,176.8,77.7,left,19,white,3,1
12157,male,188.6,81.9,right,20,white,3,1
12162,male,168.1,88.5,right,42,hispanic,2,3
12163,male,169.8,79.1,left,42,white,2,3
12164,male,170.8,86.8,right,35,hispanic,2,3
12169,male,164.2,85.4,right,45,hispanic,1,3
12172,male,178.9,100.8,right,28,white,3,2
12174,male,166.4,80.7,right,46,white,1,3
12175,male,188,102.1,right,27,native_american,3,2
12178,male,174,92.2,right,33,hispanic,2,3
12180,male,171,65.6,right,42,hispanic,2,3
12181,male,173.8,86.4,right,22,white,2,1
12184,male,177.7,81.2,right,28,white,3,2
12185,male,161.3,70.9,right,43,pacific_islander,1,3
12190,male,164.9,87,left,29,white,1,2
12191,male,178.6,78,right,24,black,3,1
12199,male,173,73.4,right,33,white,2,3
12206,male,176.3,81.9,right,19,white,3,1
12207,male,176.8,61.8,right,20,white,3,1
12208,male,183.4,73.2,right,19,white,3,1
12214,male,176.7,68.2,right,20,white,3,1
12224,male,184.4,91,right,21,white,3,1
12232,male,185.9,79.5,right,20,white,3,1
12235,male,174,85.9,right,20,white,2,1
12243,male,170.4,69.4,right,19,white,2,1
12244,male,180.7,107.5,right,21,white,3,1
12247,male,171.8,65.7,right,18,white,2,1
12253,male,175,69,right,19,white,2,1
12258,male,171.6,70,right,36,pacific_islander,2,3
12261,male,177,84.2,right,31,white,3,2
12265,male,186.5,94.9,right,21,black,3,1
12269,male,175.9,71.5,right,20,white,3,1
12288,male,192.6,101,right,29,black,3,2
12292,male,170.5,70,right,27,other,2,2
12297,male,178.1,82.5,right,24,hispanic,3,1
12301,male,176.6,81,right,22,white,3,1
12303,male,181.4,80.7,right,22,white,3,1
12304,male,183,81.9,right,21,white,3,1
12311,male,173.8,68.4,right,19,white,2,1
12317,male,186.8,90.4,right,23,hispanic,3,1
12318,male,166.8,90.6,right,37,white,1,3
12319,male,185.3,109.4,left,39,black,3,3
12320,male,157.1,77.4,right,29,hispanic,1,2
12321,male,172.3,90.4,right,21,white,2,1
12337,male,182.9,99.2,right,29,white,3,2
12338,male,169.6,77.7,right,31,white,2,2
12339,male,172.7,62.8,left,19,white,2,1
12348,male,178.5,79.1,right,19,white,3,1
12350,male,169.8,66.2,left,21,white,2,1
12356,male,184.5,86.8,right,32,white,3,2
12357,male,177.2,76.8,left,28,white,3,2
12358,male,171.4,85.6,right,38,white,2,3
12359,male,177.2,94.2,right,24,white,3,1
12361,male,174.7,79.9,left,36,white,2,3
12363,male,174.3,85.6,right,32,white,2,2
12366,male,176.6,89.9,right,29,native_american,3,2
12367,male,180,120.4,left,27,white,3,2
12368,male,178.4,74.4,right,28,black,3,2
12369,male,177.3,80.9,right,21,white,3,1
12370,male,172.7,73.2,right,21,white,2,1
12372,male,171.9,77.8,right,31,white,2,2
12377,male,180.1,60.3,right,23,white,3,1
12382,male,178.1,72.4,right,28,white,3,2
12386,male,171.3,83,right,37,white,2,3
12392,male,174.9,78.4,right,24,white,2,1
12394,male,161.9,66.3,right,21,hispanic,1,1
12397,male,165.8,76,right,38,white,1,3
12399,male,182.2,93.7,right,32,black,3,2
12411,male,173,93.1,right,28,white,2,2
12417,male,166.1,75.6,right,30,white,1,2
12420,male,185.8,83.3,right,27,white,3,2
12422,male,176.5,75.7,right,23,hispanic,3,1
12425,male,195.2,100.8,right,26,white,3,2
12427,male,180,104.2,right,20,white,3,1
12428,male,170.8,69.2,left,18,white,2,1
12432,male,174.9,91,right,31,hispanic,2,2
12435,male,164.9,86.1,left,33,white,1,3
12436,male,170.5,83.5,right,35,white,2,3
12438,male,183.6,99.4,right,21,white,3,1
12440,male,182.5,64.5,left,20,white,3,1
12441,male,165.3,61.3,right,26,black,1,2
12442,male,172,70.8,right,30,white,2,2
12444,male,170.8,88.9,right,28,white,2,2
12447,male,172.5,83.6,right,25,white,2,2
12448,male,183.5,118,right,28,white,3,2
12449,male,172.8,85.9,left,22,white,2,1
12450,male,174.8,89.2,right,27,white,2,2
12451,male,180.5,75.1,right,28,black,3,2
12452,male,173.5,77.8,right,40,white,2,3
12454,male,168.7,83.1,right,30,asian,2,2
12456,male,171,74.9,right,30,black,2,2
12457,male,178.6,63,right,22,black,3,1
12459,male,175.1,88,right,33,asian,2,3
12463,male,175,72.2,right,28,white,2,2
12467,male,175.8,62.1,right,18,white,2,1
12479,male,178.5,75,right,20,white,3,1
12480,male,176.3,96.9,right,41,white,3,3
12505,male,170.8,85.4,right,33,white,2,3
12506,male,176.3,90.7,right,38,asian,3,3
12509,male,175,85.8,right,29,hispanic,2,2
12511,male,171,86.6,right,39,white,2,3
12515,male,180.3,92.7,right,20,white,3,1
12517,male,172.5,91,right,34,white,2,3
12526,male,181.7,94.2,right,33,white,3,3
12527,male,172.3,73.6,right,29,white,2,2
12528,male,159.8,66.6,right,24,hispanic,1,1
12538,male,171.7,78.4,right,26,black,2,2
12544,male,173.7,120.8,left,22,native_american,2,1
12545,male,181.4,99.9,right,24,white,3,1
12551,male,172.1,80.4,right,29,white,2,2
12554,male,181.8,95.1,right,37,white,3,3
12556,male,173.5,88,right,31,black,2,2
12563,male,176,75.7,left,25,white,3,2
12566,male,179.3,81.9,left,22,white,3,1
12567,male,172.2,97.2,right,25,white,2,2
12568,male,185,94.5,right,21,white,3,1
12570,male,171.9,91.2,right,20,asian,2,1
12573,male,174,76.1,right,34,black,2,3
12574,male,173.1,90.2,right,27,white,2,2
12575,male,184.2,81.3,right,29,white,3,2
12578,male,180,106.6,left,21,white,3,1
12586,male,171,78.2,left,28,black,2,2
12587,male,180.3,101.8,right,40,white,3,3
12590,male,180,81.8,right,24,white,3,1
12594,male,174.4,84.7,right,40,black,2,3
12597,male,173.5,100.5,right,27,white,2,2
12600,male,170.6,92.5,right,38,white,2,3
12602,male,168.7,65.1,right,23,black,2,1
12610,male,180.3,86.7,right,23,white,3,1
12612,male,189.7,86.7,right,24,white,3,1
12615,male,176.8,91.4,right,32,white,3,2
12616,male,165.2,77.1,right,25,white,1,2
12618,male,174.9,63.5,right,23,white,2,1
12619,male,177.2,87.2,right,27,white,3,2
12621,male,178.8,89.4,right,36,white,3,3
12624,male,183.3,86.6,right,21,white,3,1
12625,male,176,82.9,right,29,white,3,2
12634,male,166.2,60.7,right,33,white,1,3
12636,male,189.9,102.9,right,26,white,3,2
12641,male,170,68.1,right,25,white,2,2
12644,male,192.3,88.9,right,28,white,3,2
12648,male,178.2,71.6,right,31,hispanic,3,2
12649,male,177.3,81.6,right,43,white,3,3
12651,male,177.9,88.5,right,33,white,3,3
12653,male,171.8,86.3,left,25,hispanic,2,2
12654,male,174.4,94.2,right,24,white,2,1
12655,male,176.1,95.8,right,27,hispanic,3,2
12658,male,172.2,62.5,right,31,hispanic,2,2
12659,male,181.4,77.2,right,24,white,3,1
12666,male,178.6,72.2,right,22,white,3,1
12667,male,165.9,97.5,right,22,white,1,1
12670,male,171.1,87.9,right,24,black,2,1
12672,male,164.7,107.1,right,21,white,1,1
12673,male,171,87.2,right,22,black,2,1
12677,male,180.5,74.2,right,30,white,3,2
12681,male,167.1,64.9,right,26,white,1,2
12683,male,173.5,65.4,right,23,white,2,1
12687,male,175.8,87.1,right,25,white,2,2
12690,male,180.4,94.2,right,24,other,3,1
12695,male,173.1,83.7,right,26,hispanic,2,2
12700,male,177.9,74.5,right,31,black,3,2
12715,male,185.2,108.7,right,25,white,3,2
12719,male,172.5,101.9,right,25,white,2,2
12722,male,176.8,90.6,right,38,white,3,3
12723,male,170.9,83.1,right,34,hispanic,2,3
12727,male,174,86.2,left,26,white,2,2
12729,male,183.6,101.4,right,42,white,3,3
12731,male,174.7,92.6,right,36,black,2,3
12732,male,172.5,80.8,right,29,black,2,2
12734,male,174.5,97.2,right,34,hispanic,2,3
12736,male,173.6,82.3,right,30,white,2,2
12737,male,182.5,65.9,right,39,white,3,3
12740,male,174.2,87.8,right,27,white,2,2
12742,male,179.3,91.8,right,31,white,3,2
12744,male,174.7,111.4,right,42,hispanic,2,3
12745,male,174.3,74,right,20,hispanic,2,1
12751,male,183.2,94.9,right,27,white,3,2
12758,male,170.8,69.8,right,25,black,2,2
12762,male,180.2,96.8,right,28,black,3,2
12764,male,175.7,88.3,right,29,white,2,2
12765,male,186.1,98.2,right,34,white,3,3
12767,male,180,79.3,right,26,white,3,2
12768,male,170.8,91.8,right,47,hispanic,2,3
12779,male,177.4,90,right,26,white,3,2
12783,male,172.3,100.9,right,29,white,2,2
12784,male,182.8,62.5,left,19,white,3,1
12786,male,180.8,116.1,right,31,white,3,2
12790,male,168.3,68.3,right,28,hispanic,2,2
12792,male,173.6,65.2,right,34,black,2,3
12794,male,172.2,80.8,right,39,white,2,3
