subject,item,accuracy,latency,length,frequency
1,coupon,1,553,6,5.81
1,cousin,1,450,6,18.09
1,cove,1,522,4,2.85
1,crag,1,533,4,4
1,creek,1,473,5,3.18
1,croft,1,629,5,2.54
1,crust,1,526,5,6.64
1,crux,1,780,4,2.23
1,crypt,1,591,5,3.54
1,crystal,1,505,7,21.11
1,culprit,1,599,7,1.97
1,cult,1,596,4,9.11
1,curfew,1,502,6,2.47
1,dad,1,518,3,73.2
1,debt,1,543,4,54.15
1,deceit,1,537,6,2.15
1,deed,1,478,4,6.63
1,delta,1,518,5,6.85
1,demon,1,661,5,3
1,den,1,598,3,4.86
1,depot,1,581,5,6.93
1,desk,1,517,4,45.15
1,dessert,1,533,7,3.1
1,diesel,1,481,6,12.97
1,digit,1,573,5,2.04
1,disc,1,526,4,16.24
1,disco,1,668,5,7.62
1,dolphin,1,674,7,7.81
1,dome,1,555,4,6.52
1,door,1,541,4,253.65
1,dough,1,597,5,3.25
1,drama,1,531,5,35.58
1,drought,1,472,7,6.44
1,duff,1,549,4,2.28
1,duke,1,446,4,33.42
1,dune,1,540,4,1.72
1,dusk,1,478,4,6.18
1,duvet,1,625,5,2.69
1,earl,1,499,4,23.4
1,easel,1,652,5,1.77
1,easter,1,485,6,17.94
1,eel,1,466,3,1.91
1,effort,1,520,6,77.93
1,egg,1,505,3,25.16
1,elf,1,453,3,3.39
1,elite,1,538,5,13
1,emblem,1,665,6,1.97
1,engine,1,541,6,50.12
1,epoch,1,709,5,1.8
1,era,1,599,3,22.32
1,ewe,1,690,3,1.32
1,ex,1,947,2,8.34
1,faeces,1,700,6,3.19
1,faith,1,495,5,52.8
1,falcon,1,478,6,2.79
1,famine,1,545,6,6.67
1,farce,1,509,5,3.19
1,fibre,1,446,5,15.34
1,fife,1,602,4,4.13
1,fig,1,503,3,16.46
1,filth,1,570,5,2.82
1,fin,1,581,3,3.1
1,finch,1,610,5,2.97
1,fir,1,449,3,2.51
1,firth,1,553,5,3.51
1,fist,1,561,4,9.83
1,flair,1,609,5,3.66
1,flask,1,511,5,3.07
1,flint,1,522,5,5.19
1,flue,1,615,4,1.69
1,flux,1,517,4,5
1,foetus,1,557,6,2.39
1,fondant,1,492,7,2.5
1,food,1,509,4,189.92
1,forest,1,497,6,72.37
1,format,1,474,6,22.85
1,fortune,1,428,7,21.26
1,franc,1,635,5,2.98
1,franklin,0,647,8,4.61
1,friar,1,539,5,4.06
1,friend,1,583,6,168.63
1,frock,1,477,5,2.34
1,gait,1,657,4,1.58
1,gal,0,586,3,1.44
1,gala,1,584,4,4.22
1,gale,1,396,4,4.59
1,gamma,1,678,5,3.83
1,gang,1,476,4,15.51
1,gap,1,539,3,34.42
1,garlic,1,573,6,8.02
1,gen,0,544,3,3.86
1,gene,1,495,4,22.4
1,genre,1,624,5,6.05
1,genus,1,621,5,3.71
1,ghetto,1,548,6,2.15
1,giant,1,524,5,27.78
1,gill,1,548,4,8.06
1,girl,1,603,4,157.62
1,gist,1,604,4,1.66
1,glass,1,519,5,98.56
1,glee,1,516,4,1.73
1,globe,1,503,5,6.84
1,gloom,1,538,5,9.76
1,glove,1,547,5,3.92
1,goblin,1,536,6,4.26
1,grid,1,543,4,11.39
1,griffin,1,614,7,3.09
1,grove,1,576,5,7.33
1,guise,1,688,5,3.97
1,guitar,1,524,6,27.05
1,gulf,1,548,4,33.42
1,gun,1,453,3,35.04
1,hall,1,468,4,121.47
1,hangar,1,609,6,2.25
1,hank,1,1004,4,3.55
1,harp,1,552,4,2.81
1,haven,1,452,5,6.6
1,havoc,1,567,5,3.41
1,hay,1,641,3,11.32
1,heathen,1,556,7,1.2
1,height,1,596,6,37.81
1,heir,1,479,4,9.85
1,helmet,1,542,6,6.9
1,hero,1,553,4,22.99
1,hill,1,495,4,70.88
1,hockey,1,612,6,6.01
1,horde,1,682,5,1.65
1,horn,1,508,4,10.2
1,horror,1,629,6,21.26
1,hostel,1,512,6,5.37
1,hour,1,592,4,113.36
1,hydra,1,603,5,1.77
1,hygiene,1,542,7,7.79
1,id,1,626,2,4.21
1,incest,1,526,6,3.05
1,islam,1,722,5,6.87
1,isle,1,596,4,13.8
1,ivy,1,524,3,6.11
1,jade,1,565,4,4.1
1,jaguar,1,629,6,5.09
1,jargon,1,533,6,5.21
1,jay,1,492,3,9.4
1,jew,1,459,3,4.19
1,jihad,1,635,5,1.12
1,joy,1,572,3,29.56
1,junta,1,707,5,1.85
1,kernel,1,547,6,2.2
1,kestrel,1,594,7,1.44
1,kettle,1,557,6,9.25
1,kilo,1,610,4,1.53
1,kin,1,511,3,8.09
1,kit,1,586,3,18.5
1,kite,1,439,4,7.16
1,kiwi,1,474,4,1.98
1,la,0,601,2,47.54
1,laird,1,554,5,2.81
1,lake,1,588,4,39.66
1,lamp,1,533,4,13.58
1,lark,1,521,4,2.5
1,lattice,1,579,7,3.5
1,laurel,1,506,6,2.08
1,lava,1,535,4,4.64
1,lea,1,502,3,10.1
1,ledge,1,571,5,3.81
1,leech,1,556,5,1.88
1,legend,1,541,6,12.49
1,lens,1,572,4,6.72
1,leopard,1,572,7,2.39
1,lesson,1,510,6,22.78
1,lettuce,1,500,7,3.98
1,ley,1,593,3,1.98
1,lily,1,583,4,16.03
1,limb,1,636,4,6.5
1,linen,1,531,5,9.55
1,liquor,1,460,6,4.32
1,litre,1,641,5,5.09
1,lobe,1,538,4,1.65
1,loch,1,561,4,13.07
1,lotus,1,555,5,8.65
1,lough,0,611,5,2.51
1,louvre,1,603,6,2.04
1,lust,1,481,4,4.92
1,lustre,1,557,6,1.54
1,maggot,1,617,6,2.35
1,magma,1,691,5,1.89
1,maid,1,499,4,9.43
1,maize,1,677,5,3.3
1,mama,1,567,4,5.56
1,mammoth,1,557,7,2.09
1,mane,1,510,4,1.8
1,manor,1,477,5,19.12
1,maple,1,546,5,3.75
1,marble,1,496,6,13.75
1,marquee,1,605,7,2.2
1,martin,1,549,6,53.15
1,mattress,1,596,8,5.04
1,mead,1,533,4,2.75
1,medal,1,582,5,11.16
1,membrane,1,580,8,8.86
1,merchant,1,559,8,18.41
1,methyl,1,547,6,1.75
1,mini,1,734,4,8.07
1,moat,1,475,4,2.84
1,mode,1,480,4,27.35
1,mogul,1,613,5,1.57
1,monarch,1,506,7,7.63
1,monkey,1,434,6,5.81
1,month,1,500,5,150.11
1,moon,1,495,4,29.77
1,moth,1,506,4,2.8
1,motto,1,487,5,3.46
1,mound,1,511,5,4.87
1,mountain,1,474,8,39.61
1,mousse,1,617,6,2.23
1,mule,1,464,4,1.88
1,murphy,1,681,6,9.6
1,muscle,1,527,6,17.83
1,music,1,502,5,150.19
1,mutton,1,563,6,2.01
1,myth,1,705,4,14.94
1,napkin,1,576,6,1.96
1,neighbour,1,658,9,17.76
1,nelson,1,662,6,10.04
1,neon,1,526,4,2.54
1,news,1,482,4,145.58
1,niece,1,649,5,4.77
1,noise,1,538,5,46.56
1,norm,1,548,4,10.03
1,nozzle,1,560,6,1.81
1,nun,1,479,3,4.45
1,oak,1,453,3,16.35
1,oath,1,446,4,5.47
1,oboe,1,613,4,1.32
1,opus,1,586,4,1.16
1,orchard,1,556,7,5.24
1,orchid,1,475,6,2.1
1,ordnance,1,529,8,3.95
1,ore,1,693,3,4.82
1,organ,1,547,5,13.4
1,oscar,1,513,5,6.54
1,ostrich,1,499,7,1.37
1,ox,1,519,2,1.92
1,oxide,1,623,5,4.02
1,pact,1,650,4,10.7
1,paddock,1,512,7,2.46
1,padre,1,757,5,1.29
1,pageant,1,583,7,1.91
1,pamphlet,1,581,8,4.07
1,pane,1,556,4,1.34
1,pang,1,565,4,1.88
1,papa,1,563,4,4.86
1,parent,1,445,6,37.31
1,parish,1,589,6,39.42
1,parkin,1,553,6,2.23
1,parsley,1,500,7,3.83
1,parson,1,606,6,2.51
1,party,1,456,5,403.06
1,pastel,1,514,6,3.36
1,pastry,1,465,6,5.04
1,path,1,497,4,62.51
1,peace,1,492,5,88.8
1,pellet,1,476,6,2.26
1,penguin,1,628,7,4.74
1,perry,1,520,5,5.33
1,person,1,556,6,249.82
1,phoenix,1,521,7,5.61
1,pi,1,829,2,6.15
1,pint,1,523,4,12.35
1,pippin,1,515,6,1.38
1,pistol,1,466,6,6.09
1,platform,1,537,8,25.65
1,plea,1,529,4,11.58
1,plinth,1,602,6,1.54
1,plum,1,545,4,2.87
1,poem,1,532,4,24.64
1,pollen,1,522,6,3.34
1,pond,1,636,4,17.27
1,poplar,1,504,6,1.24
1,poppy,1,482,5,2.67
1,porch,1,549,5,5.49
1,pork,1,514,4,5.86
1,porridge,1,532,8,2.91
1,portrait,1,522,8,17.37
1,pride,1,601,5,29.24
1,priest,1,420,6,21.22
1,prince,1,538,6,59.37
1,protein,1,610,7,28.45
1,prowess,1,667,7,2.83
1,psalm,1,574,5,2.27
1,pub,1,509,3,38.21
1,pulpit,1,489,6,2.75
1,pupil,1,496,5,23.21
1,quirk,1,512,5,1.35
1,radar,1,653,5,6.77
1,ranch,1,542,5,1.36
1,realm,1,517,5,10.53
1,reed,1,512,4,9.54
1,rep,0,1182,3,2.48
1,reptile,1,619,7,1.2
1,requiem,1,706,7,1.62
1,rhythm,1,493,6,15.23
1,rind,1,578,4,2.2
1,rite,1,677,4,2.85
1,robot,1,493,5,4.5
1,role,1,475,4,182.2
1,rouble,1,573,6,1.96
1,routine,1,702,7,32.16
1,rump,1,520,4,3.1
1,rye,1,510,3,4.73
1,saffron,1,552,7,1.84
1,salad,1,548,5,11.43
1,salon,1,508,5,7.1
1,science,1,617,7,105.97
1,scope,1,849,5,34.38
1,scot,1,502,4,4.81
1,script,1,548,6,12.39
1,scroll,1,542,6,2.14
1,scrum,1,582,5,3.34
1,scum,1,607,4,5.78
1,sect,1,678,4,2.55
1,sector,1,480,6,87.2
1,semen,1,578,5,1.63
1,senate,1,518,6,13.06
1,serpent,1,572,7,2.49
1,settee,1,533,6,3.32
1,shale,1,744,5,1.69
1,shallot,1,515,7,1.63
1,shark,1,544,5,3.19
1,shawl,1,600,5,2.46
1,sheath,1,545,6,1.67
1,shilling,1,719,8,3.84
1,shrapnel,1,547,8,1.59
1,shrub,1,485,5,2.61
1,si,0,650,2,5.98
1,sickle,1,541,6,1.65
1,siege,1,596,5,8.53
1,sikh,1,750,4,1.94
1,silk,1,517,4,22.63
1,sill,1,629,4,2.43
1,sine,1,936,4,1.88
1,slab,1,538,4,4.63
1,slag,1,681,4,1.88
1,slime,1,622,5,1.52
1,sludge,1,524,6,2.12
1,snail,1,578,5,2.94
1,soccer,1,500,6,13.24
1,soda,1,559,4,3.66
1,soul,1,542,4,30.26
1,sparrow,1,569,7,1.91
1,spasm,1,587,5,1.91
1,spate,1,585,5,3.31
1,speech,1,609,6,78.32
1,sphincter,1,781,9,3.46
1,spider,1,460,6,6.71
1,spinach,1,561,7,1.99
1,spree,1,562,5,1.89
1,squirrel,1,521,8,2.37
1,stair,1,480,5,3.69
1,statue,1,615,6,9.32
1,stature,1,498,7,4.07
1,statute,1,512,7,15.57
1,stead,1,570,5,2.9
1,stein,0,886,5,3.1
1,strife,1,592,6,2.92
1,sulphur,1,557,7,8.33
1,sultan,1,523,6,4.62
1,sum,1,557,3,44.09
1,surgeon,1,475,7,10.52
1,sword,1,551,5,14.77
1,symbol,1,498,6,17.93
1,symptom,1,578,7,5.7
1,syntax,1,576,6,5.82
1,tale,1,531,4,20.99
1,tank,1,547,4,33.24
1,tariff,1,532,6,6.69
1,team,1,513,4,189.22
1,tech,1,925,4,3
1,temple,1,533,6,21.08
1,tempo,1,566,5,3.49
1,tendon,1,778,6,1.65
1,tennis,1,550,6,28.67
1,tent,1,532,4,11.61
1,terrain,1,530,7,6.2
1,terror,1,508,6,15.12
1,terry,1,767,5,25.45
1,text,1,494,4,76.65
1,theft,1,570,5,17.27
1,theme,1,522,5,38.57
1,thistle,1,494,7,2.53
1,thrift,1,612,6,1.85
1,throat,1,521,6,32.29
1,throne,1,570,6,12.19
1,thyme,1,717,5,1.65
1,titan,1,507,5,1.18
1,tod,1,840,3,3.51
1,toilet,1,578,6,15.78
1,tongue,1,512,6,24.66
1,tooth,1,561,5,6.49
1,torque,1,556,6,6.04
1,tot,1,674,3,1.84
1,totem,1,513,5,1.38
1,toy,1,467,3,9.77
1,tract,1,750,5,5.6
1,trait,1,479,5,3
1,tram,1,692,4,4.25
1,trance,1,634,6,2.08
1,trauma,1,501,6,5.23
1,tray,1,538,4,14.39
1,tribute,1,487,7,15.18
1,trifle,1,522,6,2.97
1,trio,1,488,4,7.42
1,tub,1,597,3,3.1
1,tungsten,1,579,8,1.15
1,tunic,1,522,5,2.79
1,turmoil,1,640,7,5.48
1,tweed,1,632,5,7.5
1,tycoon,1,474,6,2.03
1,uncle,1,547,5,35.43
1,urine,1,530,5,8.06
1,vaccine,1,558,7,3.81
1,vale,1,572,4,7.09
1,valve,1,612,5,7.49
1,vassal,1,613,6,1.17
1,vat,1,558,3,23.82
1,veal,1,592,4,1.47
1,vehicle,1,507,7,42.23
1,venom,1,552,5,2.56
1,verdict,1,551,7,14.24
1,verse,1,457,5,14.4
1,vessel,1,768,6,14.1
1,vial,1,820,4,1.59
1,vigil,1,548,5,2.14
1,viking,1,532,6,4.78
1,village,1,517,7,113.4
1,villain,1,629,7,3.15
1,volume,1,508,6,53.62
1,vortex,1,520,6,1.73
1,waist,1,503,5,14.2
1,ward,1,569,4,35.47
1,weir,1,626,4,5.33
1,wharf,1,675,5,3.4
1,wheat,1,741,5,9.79
1,whore,1,557,5,2.9
1,widow,1,488,5,15.76
1,willow,1,456,6,3.51
1,witch,1,554,5,6.16
1,woman,1,491,5,232.13
1,wrath,1,479,5,3.66
1,wreath,1,565,6,1.82
1,wright,1,440,6,19.72
1,wrist,1,543,5,10.56
1,yeast,1,494,5,3.89
1,yoga,1,492,4,2.18
1,yoghurt,1,491,7,2.93
1,youth,1,525,5,54.15
1,zenith,1,553,6,2.31
1,zero,1,476,4,22.86
1,zest,1,502,4,1.86
2,abbey,1,408,5,19.42
2,abbot,1,438,5,5.88
2,acre,1,492,4,5.75
2,aegis,0,468,5,1.42
2,affair,1,684,6,33.04
2,aide,1,506,4,2.77
2,aisle,1,507,5,4.68
2,alley,1,485,5,6.42
2,alp,1,542,3,1.35
2,alpha,1,422,5,11.21
2,altar,1,507,5,8.95
2,ambit,1,436,5,1.83
2,ankle,1,446,5,9.73
2,apple,1,449,5,26.54
2,arab,1,510,4,26.38
2,arrow,1,410,5,10.4
2,arse,1,463,4,5.55
2,arson,1,517,5,3.23
2,ass,1,455,3,3.2
2,atom,1,403,4,5.52
2,auto,1,449,4,2.56
2,axis,1,467,4,10.41
2,axle,1,419,4,1.66
2,bacon,1,384,5,14.62
2,badge,1,417,5,5.55
2,bale,1,472,4,1.45
2,bamboo,1,517,6,2.9
2,barley,1,460,6,5.87
2,barrow,1,461,6,5.68
2,basil,1,427,5,7.98
2,batch,1,442,5,8.06
2,batten,1,527,6,1.41
2,bazaar,1,541,6,2.37
2,beast,1,424,5,9.11
2,beech,1,489,5,4.3
2,ben,1,889,3,31.75
2,bench,1,387,5,20.02
2,bile,1,515,4,11.83
2,bin,1,419,3,10.08
2,binge,1,590,5,1.44
2,blade,1,387,5,11.08
2,blob,1,409,4,1.92
2,bloke,1,479,5,13.11
2,blouse,1,1044,6,5.28
2,bonnet,1,430,6,4.13
2,bonus,1,443,5,13.95
2,boogie,1,551,6,1.61
2,booth,1,416,5,6.11
2,bosom,1,458,5,2.7
2,bourbon,1,520,7,1.4
2,brass,1,415,5,15.31
2,breath,1,450,6,51.57
2,bride,1,419,5,11.19
2,brine,1,424,5,1.71
2,brink,1,448,5,4.21
2,bureau,1,502,6,14.42
2,burgh,1,1237,5,2.28
2,bush,1,429,4,37.68
2,cab,1,474,3,15.47
2,cabin,1,446,5,11.18
2,canvas,1,514,6,11.39
2,capsule,1,652,7,2.19
2,car,1,454,3,278.73
2,carbon,1,578,6,24.63
2,cargo,1,473,5,8.74
2,carrot,1,409,6,3.83
2,cartel,1,552,6,2.8
2,cartridge,1,442,9,3.02
2,cat,1,472,3,39.52
2,cattle,1,458,6,25.69
2,cave,1,385,4,12.75
2,cedar,1,443,5,1.74
2,cell,1,427,4,55.18
2,cellar,1,474,6,6.93
2,cert,1,584,4,1.89
2,champagne,1,522,9,19.31
2,chancel,0,561,7,1.51
2,chaos,1,512,5,16.4
2,chariot,1,517,7,2.32
2,charlotte,1,503,9,15.65
2,chasm,1,522,5,1.35
2,chest,1,399,5,37.99
2,chi,1,824,3,2.64
2,chick,1,418,5,3.11
2,chilli,1,432,6,1.93
2,chord,1,520,5,5.7
2,chunk,1,492,5,2.98
2,chute,1,511,5,1.37
2,circuit,1,459,7,26.44
2,cistern,1,699,7,2.67
2,clan,1,449,4,4.36
2,client,1,412,6,60.99
2,clone,1,546,5,3.6
2,cloth,1,427,5,19.67
2,cob,1,392,3,1.5
2,cobalt,1,570,6,2.94
2,coca,1,440,4,2.19
2,cocoa,1,414,5,5.14
2,coffee,1,423,6,66.66
2,coffin,1,478,6,13.97
2,cognac,1,521,6,1.39
2,cola,1,422,4,2.09
2,colon,1,519,5,7.86
2,colonel,1,553,7,19.61
2,column,1,415,6,28.43
2,coma,1,424,4,2.54
2,combo,1,522,5,2.47
2,comma,1,450,5,2.01
2,commerce,1,514,8,16.17
2,comrade,1,528,7,3.42
2,cone,1,494,4,4.36
2,corpse,1,433,6,8.3
2,corpus,1,406,6,7.24
2,creed,1,454,5,7.85
2,cricket,1,459,7,33.06
2,crisis,1,475,6,59.03
2,cub,1,469,3,1.61
2,cue,1,383,3,4.59
2,cuisine,1,467,7,4.36
2,daisy,1,476,5,6.37
2,dale,1,474,4,7.38
2,dane,1,1005,4,3.83
2,deacon,1,596,6,2.69
2,dean,1,530,4,20.06
2,dearth,1,592,6,1.19
2,degree,1,423,6,99.72
2,dell,1,448,4,3.55
2,denim,1,474,5,2.4
2,dew,1,451,3,2.8
2,dickens,1,876,7,6.79
2,dirt,1,452,4,10.06
2,doctrine,1,470,8,17.2
2,doe,1,447,3,6.05
2,dogma,1,481,5,2.59
2,dole,1,445,4,5.91
2,doll,1,462,4,7.51
2,domain,1,495,6,16.71
2,donkey,1,489,6,5.49
2,dragon,1,394,6,9
2,drake,1,468,5,3.13
2,duct,1,578,4,2.66
2,duet,1,467,4,1.78
2,dung,1,529,4,2.23
2,duo,0,496,3,3.73
2,eagle,1,473,5,12.87
2,ear,1,440,3,28.76
2,eaves,1,453,5,1.89
2,ego,1,485,3,9.71
2,elm,1,404,3,2.51
2,enzyme,0,471,6,7.41
2,ethos,1,624,5,4.42
2,event,1,485,5,103.89
2,fa,0,776,2,15.66
2,facet,1,518,5,2.18
2,fame,1,387,4,12.1
2,fauna,1,512,5,3.58
2,feat,1,1117,4,3.87
2,fen,1,518,3,5.56
2,fiat,1,579,4,3.44
2,finn,0,735,4,5.92
2,flak,1,565,4,1.92
2,flea,1,441,4,1.83
2,flesh,1,371,5,25.43
2,flora,1,542,5,13.32
2,foe,1,467,3,3.81
2,font,1,459,4,3.03
2,fort,1,433,4,10.67
2,fountain,1,433,8,6.82
2,fraud,1,581,5,17.97
2,frieze,1,427,6,1.27
2,frog,1,393,4,5.1
2,fun,1,441,3,51.21
2,fungus,1,519,6,2.95
2,furnace,1,426,7,2.91
2,gable,1,405,5,2.21
2,gallon,1,364,6,3.6
2,gem,1,473,3,3.08
2,genius,1,469,6,11.15
2,germ,1,428,4,1.7
2,gibbon,1,452,6,1.64
2,gig,1,449,3,5.73
2,gilt,1,511,4,4.01
2,gland,1,563,5,2.61
2,glen,1,505,4,9.64
2,gluten,1,522,6,1.8
2,goal,1,408,4,59.38
2,goat,1,443,4,6.28
2,gold,1,456,4,77.92
2,gorse,1,517,5,1.51
2,grain,1,463,5,18.07
2,gram,1,643,4,2.23
2,grammar,1,520,7,24.23
2,grange,1,522,6,4.58
2,grape,1,411,5,2.84
2,greed,1,406,5,4.93
2,grist,0,467,5,1.28
2,guilt,1,560,5,17.7
2,guru,1,602,4,2.09
2,gust,1,468,4,1.45
2,hair,1,390,4,144.53
2,halo,1,506,4,1.63
2,harem,1,475,5,2.18
2,hart,1,665,4,6.2
2,haste,1,608,5,4.41
2,hat,1,452,3,31.37
2,heart,1,391,5,137.32
2,hearth,1,515,6,4.01
2,heath,1,681,5,13.41
2,hectare,1,550,7,1.96
2,helm,1,501,4,2.74
2,hen,1,504,3,4.46
2,hermit,1,485,6,1.24
2,hick,1,699,4,2.27
2,hilt,1,560,4,1.52
2,honey,1,422,5,14.79
2,hoof,1,479,4,1.26
2,hormone,1,527,7,4.42
2,horse,1,408,5,77.61
2,hotel,1,455,5,114.47
2,hub,1,499,3,2.96
2,hue,1,439,3,2.18
2,hun,0,602,3,2.02
2,icon,1,452,4,5.01
2,idea,1,500,4,217.03
2,idiom,1,549,5,2.69
2,idiot,1,391,5,6.49
2,idol,1,475,4,2.6
2,impulse,1,408,7,7.41
2,inn,1,408,3,15.4
2,insect,1,436,6,7.56
2,ion,1,499,3,4.84
2,jean,1,619,4,30.63
2,jeep,1,480,4,4.44
2,johnny,1,792,6,15.48
2,judo,1,552,4,1.37
2,june,1,463,4,145.9
2,jungle,1,482,6,9.77
2,keel,1,623,4,1.75
2,kiln,1,488,4,1.82
2,king,1,459,4,163.88
2,kiosk,1,525,5,1.87
2,kitchen,1,423,7,82.47
2,kitten,1,470,6,2.5
2,knack,1,487,5,2.21
2,knob,1,429,4,2.81
2,lad,1,429,3,19.69
2,lagoon,1,491,6,2.03
2,lama,1,517,4,1.32
2,lane,1,436,4,45.33
2,lantern,1,458,7,2.56
2,larva,1,490,5,1.25
2,lass,1,450,4,4.39
2,law,1,377,3,270.33
2,lawn,1,471,4,10.82
2,leash,1,468,5,1.73
2,lee,1,416,3,37.06
2,lemon,1,423,5,12.19
2,lid,1,519,3,10.87
2,lilac,1,449,5,1.89
2,limbo,1,572,5,1.82
2,lip,1,527,3,15.92
2,lipid,1,555,5,2.68
2,loo,1,448,3,4.35
2,lore,1,444,4,1.62
2,loss,1,390,4,116.02
2,lot,1,436,3,184.83
2,luck,1,428,4,32.13
2,lung,1,513,4,9.33
2,lymph,1,540,5,1.85
2,mac,1,1095,3,9.82
2,mace,1,459,4,1.77
2,magnet,1,446,6,3.22
2,mall,1,473,4,2.93
2,mam,1,681,3,5.13
2,mammal,1,601,6,2.86
2,mango,1,448,5,1.14
2,marc,1,623,4,6.77
2,mare,1,523,4,6.36
2,margin,1,432,6,14.58
2,marrow,1,442,6,3.15
2,marsh,1,440,5,10.3
2,mason,1,401,5,9.32
2,mast,1,394,4,4.63
2,matrix,1,465,6,14.33
2,matron,1,477,6,3.98
2,mavis,0,1647,5,2.46
2,mayhem,1,504,6,1.71
2,mayor,1,509,5,22.64
2,maze,1,444,4,4.71
2,meadow,1,509,6,6.7
2,meal,1,401,4,42.65
2,meat,1,415,4,36
2,mecca,1,558,5,1.95
2,melon,1,425,5,2.03
2,menu,1,452,4,15.95
2,method,1,501,6,90.91
2,metre,1,483,5,9
2,mick,1,516,4,15.08
2,midi,1,909,4,2.32
2,mile,1,399,4,32.36
2,mirth,0,414,5,1.78
2,missus,1,580,6,1.86
2,mite,1,576,4,2.08
2,mole,1,400,4,5.72
2,mom,1,507,3,2.63
2,moment,1,512,6,221.46
2,money,1,445,5,373.67
2,monk,1,564,4,6.33
2,mood,1,494,4,32.89
2,morning,1,516,7,211.44
2,morrow,0,3078,6,1.77
2,mosque,1,678,6,3.13
2,moss,1,513,4,8.56
2,moustache,1,450,9,6.07
2,movie,1,400,5,17.97
2,mu,0,3130,2,2.19
2,mucus,1,595,5,2.28
2,mufti,1,566,5,1.99
2,mustard,1,473,7,4.87
2,nape,1,783,4,2.17
2,nausea,1,487,6,2.84
2,nave,1,558,4,4.48
2,nectar,1,506,6,1.47
2,negro,1,429,5,1.6
2,nephew,1,495,6,7.29
2,ness,0,2997,4,2.1
2,nexus,1,523,5,1.2
2,nil,1,506,3,8.39
2,nipple,1,487,6,1.53
2,node,1,432,4,7.72
2,noon,1,459,4,7.27
2,noun,1,521,4,6.27
2,nova,1,551,4,2.75
2,nucleus,1,525,7,6.7
